overfitting,train_accuracy,test_accuracy,n_estimators,max_depth,max_features,min_samples_leaf
0.23930635838150294,1.0,0.7606936416184971,200,6,732,1
0.23554702947387884,0.9997088791848616,0.7641618497109828,200,6,732,2
0.24592641206216204,0.9962154294032024,0.7502890173410404,200,6,732,3
0.24046242774566473,1.0,0.7595375722543353,200,6,823,1
0.23756804738706438,0.9994177583697234,0.761849710982659,200,6,823,2
0.24013765134496134,0.9950509461426492,0.7549132947976879,200,6,823,3
0.24393063583815033,1.0,0.7560693641618497,200,6,915,1
0.24046242774566484,1.0,0.7595375722543352,200,6,915,2
0.24158484152426152,0.9953420669577875,0.753757225433526,200,6,915,3
0.284393063583815,1.0,0.715606936416185,200,7,91,1
0.28959116877434776,0.9994177583697234,0.7098265895953756,200,7,91,2
0.3045948288192779,0.995924308588064,0.6913294797687861,200,7,91,3
0.2739884393063583,1.0,0.7260115606936417,200,7,183,1
0.2728323699421965,1.0,0.7271676300578035,200,7,183,2
0.28783602998712676,0.9965065502183407,0.7086705202312139,200,7,183,3
0.2578034682080925,1.0,0.7421965317919075,200,7,274,1
0.2543352601156069,1.0,0.7456647398843931,200,7,274,2
0.2748365600625994,0.9973799126637555,0.7225433526011561,200,7,274,3
0.24508670520231224,1.0,0.7549132947976878,200,7,366,1
0.25086705202312143,1.0,0.7491329479768786,200,7,366,2
0.2603814860623809,0.996797671033479,0.7364161849710982,200,7,366,3
0.24624277456647403,1.0,0.753757225433526,200,7,457,1
0.23785916820220265,0.9997088791848616,0.761849710982659,200,7,457,2
0.25258012132838603,0.9970887918486172,0.7445086705202312,200,7,457,3
0.24277456647398843,1.0,0.7572254335260116,200,7,549,1
0.23352601156069364,1.0,0.7664739884393064,200,7,549,2
0.24275773868120598,0.9976710334788939,0.7549132947976879,200,7,549,3
0.24508670520231213,1.0,0.7549132947976879,200,7,640,1
0.24017130693052646,0.9997088791848616,0.7595375722543352,200,7,640,2
0.24217549705092944,0.9970887918486172,0.7549132947976878,200,7,640,3
0.23930635838150294,1.0,0.7606936416184971,200,7,732,1
0.24248344565885016,0.9997088791848616,0.7572254335260115,200,7,732,2
0.24101101379037604,0.995924308588064,0.754913294797688,200,7,732,3
0.23815028901734114,1.0,0.7618497109826589,200,7,823,1
0.23554702947387884,0.9997088791848616,0.7641618497109828,200,7,823,2
0.24101101379037626,0.995924308588064,0.7549132947976878,200,7,823,3
0.24161849710982664,1.0,0.7583815028901734,200,7,915,1
0.23352601156069364,1.0,0.7664739884393064,200,7,915,2
