Overfitting,train_accuracy,test_accuracy,n_estimator,max_depth,max_feature,min_samples_leaf
0.275659439,0.991266376,0.715606936,200,10,274,5
0.275659439,0.991266376,0.715606936,200,12,240,5
0.275815938,0.972925764,0.697109827,200,10,309,7
0.275824351,0.974090247,0.698265896,200,12,309,7
0.275891663,0.983406114,0.707514451,200,13,309,6
0.27595056,0.991557496,0.715606936,200,8,240,5
0.27595056,0.991557496,0.715606936,200,9,309,5
0.27595056,0.991557496,0.715606936,200,11,240,5
0.27595056,0.991557496,0.715606936,200,12,206,5
0.276048161,0.965065502,0.689017341,200,5,240,6
0.276182783,0.983697234,0.707514451,200,9,240,6
0.276191197,0.984861718,0.70867052,200,9,274,6
0.276398179,0.973508006,0.697109827,200,7,309,7
0.276473904,0.983988355,0.707514451,200,8,309,6
0.276524388,0.990975255,0.714450867,200,12,309,5
0.276756611,0.983114993,0.706358382,200,8,274,6
0.276756611,0.983114993,0.706358382,200,12,240,6
0.276815508,0.991266376,0.714450867,200,9,206,5
0.276815508,0.991266376,0.714450867,200,10,240,5
0.277039318,0.98224163,0.705202312,200,6,206,6
0.277047732,0.983406114,0.706358382,200,14,240,6
0.27706456,0.98573508,0.70867052,200,7,274,6
0.277106629,0.991557496,0.714450867,200,11,274,5
0.277271542,0.974381368,0.697109827,200,6,274,7
0.277271542,0.974381368,0.697109827,200,14,309,7
0.277355681,0.986026201,0.70867052,200,8,206,6
0.277629974,0.983988355,0.706358382,200,6,274,6
0.277629974,0.983988355,0.706358382,200,6,309,6
0.27776123,0.962154294,0.684393064,200,5,309,6
0.277845369,0.973799127,0.695953757,200,9,309,7
0.277912681,0.983114993,0.705202312,200,10,240,6
0.27813649,0.974090247,0.695953757,200,13,309,7
0.278186974,0.981077147,0.702890173,200,11,206,6
0.278195388,0.98224163,0.704046243,200,13,206,6
0.278212215,0.984570597,0.706358382,200,14,309,6
0.278220629,0.98573508,0.707514451,200,12,309,6
0.278262699,0.991557496,0.713294798,200,7,240,5
0.278262699,0.991557496,0.713294798,200,9,274,5
0.278402369,0.970887918,0.692485549,200,5,206,5
0.278427611,0.974381368,0.695953757,200,10,274,7
0.278427611,0.974381368,0.695953757,200,14,274,7
0.278436025,0.975545852,0.697109827,200,5,309,4
0.278494922,0.983697234,0.705202312,200,7,206,6
0.278710318,0.973508006,0.694797688,200,6,309,7
0.278777629,0.982823872,0.704046243,200,9,206,6
0.279001439,0.973799127,0.694797688,200,8,309,7
0.279208421,0.962445415,0.683236994,200,5,206,6
0.279300973,0.975254731,0.695953757,200,7,274,7
0.279642578,0.982532751,0.702890173,200,14,206,6
0.279667819,0.986026201,0.706358382,200,14,274,6
0.279866387,0.973508006,0.693641618,200,11,309,7
0.279984182,0.989810771,0.70982659,200,11,309,5
0.280115439,0.96797671,0.687861272,200,5,274,6
0.280165922,0.97496361,0.694797688,200,9,274,7
0.280165922,0.97496361,0.694797688,200,11,274,7
0.280165922,0.97496361,0.694797688,200,12,274,7
0.280283717,0.991266376,0.710982659,200,7,309,5
0.280283717,0.991266376,0.710982659,200,14,240,5
0.280457043,0.975254731,0.694797688,200,13,274,7
0.280574837,0.991557496,0.710982659,200,13,206,5
0.28073975,0.974381368,0.693641618,200,8,274,7
0.280748164,0.975545852,0.694797688,200,13,240,7
0.281030871,0.974672489,0.693641618,200,8,240,7
0.281089768,0.982823872,0.701734104,200,10,206,6
0.281321991,0.97496361,0.693641618,200,12,240,7
0.281878991,0.972052402,0.69017341,200,5,309,5
0.28218694,0.974672489,0.692485549,200,5,240,5
0.282769182,0.975254731,0.692485549,200,10,240,7
0.282942508,0.959243086,0.676300578,200,5,274,7
0.283043475,0.973216885,0.69017341,200,5,274,5
0.283516336,0.958660844,0.675144509,200,5,309,7
0.28363413,0.97496361,0.69132948,200,14,240,7
0.284790199,0.97496361,0.69017341,200,6,240,7
0.284790199,0.97496361,0.69017341,200,7,240,7
0.286064063,0.991266376,0.705202312,200,14,274,5
0.287393459,0.975254731,0.687861272,200,9,240,7
0.287676166,0.974381368,0.686705202,200,6,206,7
0.287967287,0.974672489,0.686705202,200,8,206,7
0.288541115,0.974090247,0.685549133,200,7,206,7
0.288549528,0.975254731,0.686705202,200,9,206,7
0.288832235,0.974381368,0.685549133,200,10,206,7
0.289123356,0.974672489,0.685549133,200,11,240,7
0.289414477,0.97496361,0.685549133,200,13,206,7
0.290279425,0.974672489,0.684393064,200,14,206,7
0.290735459,0.957787482,0.667052023,200,5,240,7
0.290861667,0.975254731,0.684393064,200,11,206,7
0.291600407,0.957496361,0.665895954,200,5,206,7
0.292017736,0.975254731,0.683236994,200,12,206,7
